version,season,location,region,country,n_survivors,lat,lon,date_drop_off
US,1.0,Vancouver Island,British Columbia,Canada,10.0,50.72444,-127.498056,
US,2.0,Vancouver Island,British Columbia,Canada,10.0,50.72444,-127.498056,
US,3.0,Patagonia,Patagonia,Argentina,10.0,-41.0,-68.0,
US,4.0,Vancouver Island,British Columbia,Canada,14.0,50.72444,-127.498056,
US,5.0,Selenge Province,,Mongolia,10.0,49.75,106.5,
US,6.0,Great Slave Lake,Northwest Territories,Canada,10.0,61.500278,-114.001111,
US,7.0,Great Slave Lake,Northwest Territories,Canada,10.0,61.500278,-114.001111,2019-09-18
US,8.0,Chilko Lake,British Columbia,Canada,10.0,51.266667,-124.05,2020-09-18
US,9.0,Big River,Labrador,Canada,10.0,59.66,-64.273611,2021-09-18
AU,1.0,lutruwita / Tasmania,lutruwita / Tasmania,Australia,10.0,146.271252,-42.745305,
US,10.0,Reindeer Lake,Saskatchewan,Canada,10.0,58.25,-103.333333,
