tenure,phone_services,internet_services,payment_method,number_customer_service_calls,phone_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,internet_charge_per_min,gender_encoded,contract_duration_encoded
1,1,1,mail,2,112.2367697,19.08228078,37.33945972,30.425,0,0.006314215,0,0
1,1,1,email,1,122.3339783,20.79830747,16.9701325,16.891,0,0.004364656,1,0
1,0,1,mail,2,0,0,19.85044491,18.799,0,0.006748553,1,0
1,1,1,mail,2,115.2137249,19.5893176,25.89561191,24.364,0,0.005861464,0,0
1,0,1,mail,2,0,0,30.49988321,22.259,0,0.010928705,1,0
1,1,1,automatic transfer,1,131.7898272,22.40654026,8.540284885,15.601,0,0.011753233,0,0
1,0,1,email,0,0,0,22.5361522,19.507,0,0.007826168,1,0
1,1,1,mail,1,118.1215023,20.08251794,40.46117241,28.375,0,0.011319229,1,0
1,1,1,email,2,119.8324195,20.37453736,41.22750562,28.908,0,0.008104019,1,0
1,0,1,mail,1,0,0,21.04025413,21.671,0,0.008287344,1,0
1,1,1,automatic transfer,1,119.0834973,20.24625349,12.40011186,18.262,0,0.003522658,0,0
1,0,1,email,2,0,0,12.5600353,15.968,0,0.003809913,1,0
1,1,1,mail,3,117.7520908,20.01976417,13.10023962,15.897,0,0.003382219,1,0
1,1,1,mail,0,126.1359082,21.44537444,28.83932445,25.275,0,0.006256042,1,0
1,1,1,email,0,118.6247056,20.16973789,13.66232416,19.39,0,0.005040291,0,0
1,1,1,email,3,125.25041,21.29527028,25.7719537,25.082,0,0.004233932,1,0
1,1,1,automatic transfer,2,105.6062293,17.95453112,27.787203,22.4,0,0.006513715,0,0
1,1,1,automatic transfer,0,120.180745,20.43331481,26.67136469,22.503,0,0.00906666,1,0
1,0,1,mail,1,0,0,9.685738819,14.192,0,0.008646415,0,0
1,1,1,mail,0,111.821559,19.01215322,36.43457979,27.085,0,0.005937032,1,0
1,0,1,mail,0,0,0,14.21042435,18.298,0,0.008228776,0,0
1,0,1,mail,0,0,0,5.744047683,12.394,0,0.005275465,0,0
1,1,1,mail,2,115.6255837,19.65873443,26.7917853,24.537,0,0.007065475,1,0
1,1,1,email,4,116.4880203,19.80585401,35.31000802,26.942,1,0.025926312,1,0
1,1,1,mail,2,116.6137235,19.8269141,23.73348367,21.855,1,0.014785414,1,0
1,0,1,email,6,0,0,25.43978973,23.035,1,0.016002768,0,0
1,1,1,mail,1,120.8719368,20.55148079,6.662315242,13.488,1,0.010917862,0,0
1,1,1,mail,0,120.1811303,20.43351189,30.94275402,25.996,1,0.009095742,1,0
1,1,1,email,1,118.0246338,20.06762066,21.58929265,20.587,1,0.006197779,1,0
1,0,1,automatic transfer,1,0,0,20.45727208,20.348,1,0.010680107,1,0
1,1,1,mail,1,121.4324074,20.64619981,29.92518186,25.271,1,0.006971788,1,0
