country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,avg_shortfall_international_povline,avg_shortfall_lower_mid_income_povline,avg_shortfall_upper_mid_income_povline,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_3000,avg_shortfall_4000,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_international_povline,total_shortfall_lower_mid_income_povline,total_shortfall_upper_mid_income_povline,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_3000,total_shortfall_4000,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_international_povline,income_gap_ratio_lower_mid_income_povline,income_gap_ratio_upper_mid_income_povline,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_3000,income_gap_ratio_4000,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,mld,polarization,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
United States,1974,national,income,2017,1974,0,0.735946147,0.999971939,2.237365208,0.494082529,4.494944069,14.23830454,30.74351492,48.73734983,9.998368722,14.74907817,21.48991618,1573850,2138480,4784695,1056615,9612618,30449184,65746236,104226772,21381911,31541494,45957045,1.123028742,2.031356755,3.051675099,0.493604793,3.813128226,7.410685111,10.62309812,14.87978396,6.200190523,7.641166878,8.67516727,1767478.786,4344015.794,14601334.59,521550.2284,36654145.02,225649314.5,698428716,1550871850,132571921.9,241013819.2,398685052.6,52.23389499,55.65360974,44.55000145,49.36047931,38.13128226,37.05342556,35.41032706,37.19945989,37.81521157,37.28302749,35.27346291,0.384413271,0.556520483,0.996746234,0.243881446,1.713979866,5.275779609,10.88637912,18.13003088,49.15481122,40.99005576,10.25576586,20.38549428,26.74475076,32.33309549,37.86414038,44.46447183,52.2082814,62.00938149,77.3789978,127.9037329,2.086421574,4.147202232,5.440922282,6.577808903,7.70303851,9.045802584,10.62119457,12.61511945,15.74189706,26.02059284,16.4,23.82,29.72,35.05,47.95,56.55,68.6,89.35,0.353434656,0.247521298,0.306144405,1.425601948,6.699552491,5.448170732,2.181929182,2.49695122
United States,1979,national,income,2017,1979,0,0.499158378,0.74962288,1.499230123,0.499158378,2.499452256,11.99888566,26.49965691,42.74850348,9.747622302,15.24766921,21.74885944,1123381,1687064,3374092,1123381,5625142,27004092,59638803,96207644,21937511,34315642,48946896,1.69655899,2.415902426,3.461910913,0.546559106,4.500855008,6.50260318,10.10027636,14.35936115,5.75381615,7.30784649,8.932162542,1905882.135,4075782.01,11680805.92,613994.1148,25317948.54,175596894.5,602368392.2,1381480305,126224405.1,250773443.9,437201631,78.90972046,66.18910756,50.53884545,54.65591057,45.00855008,32.5130159,33.66758787,35.89840287,32.00976348,32.52414489,33.12774257,0.39388452,0.496168761,0.757693515,0.272819584,1.124967166,3.901199585,8.921795298,15.34602992,53.22214271,44.9379777,12.42290164,22.22424084,29.01260681,35.22170151,41.50579919,48.4812672,56.82626324,67.66421067,84.3763827,134.4860533,2.334160371,4.175750863,5.45122863,6.61786612,7.79859605,9.109228739,10.67718441,12.71354501,15.85362377,25.26881604,18.34,25.68,32.15,38.25,52.3,61.6,74.55,97.25,0.345001938,0.22929272,0.302239431,1.360073626,6.316897164,5.30261723,2.168338907,2.445474373
United States,1986,national,income,2017,1986,0,0.498987809,0.749409811,1.498850911,0.24900512,3.247320882,13.99768344,26.99903563,41.24620198,12.249679,17.99376214,24.24986156,1198234,1799580,3599236,597943,7797889,33613057,64833594,99045742,29415522,43208961,58231920,1.613670654,2.342533861,3.488440233,0.979436336,3.884745271,6.784016958,11.0353474,15.50693326,6.28659795,8.210279841,10.13178147,1933555.043,4215577.085,12555719.67,585647.1008,30292812.42,228031548.7,715461232.9,1535895711,184923560.3,354757661.5,589993088,75.05444903,64.17900989,50.92613478,97.94363355,38.84745271,33.92008479,36.78449133,38.76733316,33.73193622,35.24305364,36.24266617,0.374512427,0.480963727,0.763306908,0.243884473,1.261501435,4.748026066,9.931457885,15.9900525,56.92988535,46.59232952,11.20615076,20.82087228,28.54751784,35.56181123,42.79259352,50.85902554,60.70842297,73.56887512,93.10061656,152.1329677,1.96841267,3.657283368,5.014504712,6.246598076,7.516718724,8.933625148,10.66371776,12.92271619,16.35355771,26.72286564,16.6,24.98,32.15,39.15,55.35,66.6,81.5,106.9,0.373515096,0.269393994,0.33864949,1.582470776,7.657083329,6.439759036,2.296455424,2.804216867
United States,1991,national,income,2017,1991,0,0.49938721,0.749145347,1.497626177,0.248887848,2.997699599,13.74806106,26.99970115,40.49813043,12.4969056,18.74711016,25.24884936,1263355,1895195,3788710,629639,7583610,34779982,68304114,102452575,31614797,47426627,63874792,1.448465937,2.161755478,3.43813267,0.929726405,4.009585944,6.654514381,10.92604499,15.62577672,6.308343379,8.152327837,10.18909088,1829926.684,4096948.174,13026087.63,585392.0038,30407136.06,231443890.4,746293822.7,1600901062,199436995.3,386637411.5,650826060.4,67.37050869,59.22617749,50.19171781,92.97264048,40.09585944,33.2725719,36.42014998,39.06444181,33.13960248,34.26128067,35.68421491,0.336439768,0.443690061,0.751684368,0.231397616,1.201953351,4.574333456,9.833331657,15.82036854,58.24185079,47.58916,11.45490896,20.95885651,28.45944895,35.89993785,43.43880088,51.72521333,61.27706069,74.29374141,94.77225394,160.1382854,1.96678313,3.598590399,4.886425924,6.163941798,7.4583483,8.881107422,10.52113899,12.75607495,16.27219133,27.49539776,17.02,24.8,32.3,39.6,56.25,66.95,82.5,109.9,0.380459151,0.273879481,0.338338902,1.654780087,7.864268024,6.457109283,2.313684211,2.790834313
United States,1992,national,income,2017,1992,0,0.497899338,0.749928487,1.748076094,0.2493938,3.249529422,13.99760133,27.24957636,40.99925272,12.49433649,18.74681402,24.9995648,1277182,1923672,4484060,639730,8335498,35905807,69898978,105168823,32049722,48088203,64127384,1.532413344,2.316892612,3.171415308,0.930863726,4.084233277,6.847054326,11.03476431,15.64659718,6.528456482,8.284687813,10.33840934,1957170.739,4456941.446,14220816.53,595501.4515,34044118.32,245849011.1,771318747.6,1645534210,209235215.3,398395749.3,662975145.6,71.27503924,63.47650993,46.29803369,93.08637261,40.84233277,34.23527163,36.7825477,39.11649296,34.50239192,35.02715187,36.42513375,0.354878085,0.47602854,0.809324875,0.232151638,1.327183636,4.792116827,10.02308838,16.03746978,58.25737227,47.30437601,11.10694797,20.76967678,28.35581074,35.68857838,43.19005923,51.44372827,61.24496329,74.34429752,94.97544525,161.4542153,1.906530889,3.565158531,4.86733432,6.126019246,7.413664151,8.830423733,10.51282626,12.76135442,16.30273415,27.7139543,16.62,24.68,31.85,39.4,56.05,67.1,82.4,111,0.38373883,0.280101339,0.342013431,1.683199632,8.044442049,6.678700361,2.354188759,2.836943442
United States,1993,national,income,2017,1993,0,0.499658555,0.748368814,1.749635412,0.499658555,3.499095448,14.74680664,28.24486997,41.99990793,12.99491204,18.99663907,25.49874899,1298708,1945153,4547635,1298708,9094814,38329752,73413784,109165741,33776245,49375874,66276093,1.726706334,2.508256789,3.190015383,0.576706761,3.81286289,6.806328158,11.10339635,15.8461112,6.310778609,8.241824068,10.20095857,2242487.33,4878943.218,14507025.6,748973.6837,34677278.79,260884870.3,815142341.6,1729852471,213154404.4,406947266.7,676079678.6,80.31192253,68.71936408,46.56956763,57.67067606,38.1286289,34.03164079,37.01132118,39.615278,33.79981302,35.31381843,36.42344984,0.40128554,0.514274359,0.81479767,0.288156573,1.334157133,5.018580218,10.4537996,16.63838033,59.46117736,46.67761479,10.88481943,20.21740154,27.69096242,34.84001131,42.45997718,50.96736957,61.02262948,74.39530884,95.64160095,176.4916929,1.830575833,3.400101114,4.656981857,5.859287161,7.14078985,8.571537233,10.26260027,12.51157682,16.08471362,29.68183624,16.26,24.08,31.2,38.55,55.5,67.1,82.75,111.5,0.403645427,0.314757064,0.35357306,1.884926532,8.74964184,6.857318573,2.392703863,2.865928659
United States,1994,national,income,2017,1994,0,0.499792789,0.74711952,1.749783462,0.499792789,3.246330563,13.24849787,26.99915837,40.7495771,11.99954375,18.24766073,24.99710497,1315085,1965866,4604135,1315085,8541940,34860243,71041805,107222732,31573919,48014340,65773882,1.826032688,2.692694681,3.386610325,0.676032885,4.073676182,6.888154844,10.79967918,15.46713872,6.556059036,8.247027679,10.12717383,2401388.198,5293476.921,15592411.13,889040.7065,34797097.53,240122751.7,767228702.7,1658428870,207000477,395975591,666103536.6,84.93175294,73.77245701,49.43956678,67.60328849,40.73676182,34.44077422,35.99893061,38.66784681,34.48760648,34.70624576,35.51544039,0.42448285,0.551168509,0.86508532,0.337876419,1.322449987,4.562885303,9.719408226,15.75698401,60.50506305,47.52474661,11.3827369,21.23081412,28.61439307,35.81041387,43.34436164,51.80773118,61.73235658,75.28872779,96.75942302,179.0796724,1.881286676,3.508931824,4.72925597,5.918581366,7.163757783,8.56254478,10.20284146,12.44337647,15.99195475,29.59746893,17.2,24.96,32.3,39.4,56.35,67.6,84.05,112.8,0.399868036,0.310259063,0.346951203,1.845452418,8.457806242,6.558139535,2.374736842,2.761627907
United States,1995,national,income,2017,1995,0,0.49998137,0.74773493,1.498263469,0.49998137,2.998747745,12.24733043,25.99913592,39.99997676,11.24565406,17.74788732,24.49812547,1331340,1991054,3989546,1331340,7985006,32611947,69229979,106511138,29944703,47258719,65233119,1.883071692,2.676662019,3.794139671,0.733071352,4.160324239,6.840594919,10.61925974,15.15189661,6.59000555,8.113418924,10.00800136,2507008.666,5329378.62,15136894.75,975967.214,33220214.01,223085119,735171129,1613845751,197335759,383429785.1,652853143.6,87.58472985,73.33320601,55.3889003,73.30713522,41.60324239,34.2029746,35.39753248,37.87974152,34.35095333,33.83349804,34.77836096,0.437907203,0.548338102,0.829871659,0.366521911,1.247576368,4.188951377,9.203052562,15.15188779,61.42307513,47.9608636,11.91355385,21.86838339,29.19651242,36.45640659,43.89648019,52.36899026,62.53961933,76.08574356,97.5752412,182.3298205,1.939589286,3.560287944,4.75334593,5.935294922,7.146578073,8.525947317,10.18177927,12.38715961,15.88576296,29.68425468,17.98,25.62,32.85,40,57.2,68.25,84.8,114.1,0.398549953,0.294295871,0.34556249,1.833661026,8.285642703,6.345939933,2.382045929,2.66407119
United States,1996,national,income,2017,1996,0,0.74854541,0.74854541,1.498511971,0.498785391,2.749244264,12.49806998,25.99549707,39.74903868,11.74849386,17.99960718,24.74773029,2016536,2016536,4036901,1343698,7406299,33669051,70030309,107081525,31649738,48489862,66668901,1.321515717,2.821516031,3.744803841,0.833067148,4.288883253,6.542426488,10.51214387,15.14989612,6.306228152,8.090350095,10.06679394,2664884.018,5689688.651,15117402.37,1119390.66,31764751.75,220277291.1,736168683.3,1622273980,199590468.8,392299959.7,671142088.6,61.4658473,77.30180907,54.66866921,83.30671477,42.88883253,32.71213244,35.04047956,37.87474029,32.56470053,33.42217525,34.65591181,0.460099682,0.578639023,0.819216484,0.415521749,1.179118753,4.088385248,9.108946788,15.05484513,62.40383271,48.41306728,12.12668562,21.90181192,29.24764083,36.55141932,44.18380706,52.83285127,63.19437863,77.34326618,99.26800741,187.3884589,1.943259748,3.509690186,4.686834055,5.857239488,7.080303427,8.466283075,10.12668227,12.39399294,15.90735746,30.02835735,17.86,25.7,32.8,40.3,57.6,69.3,85.95,115.6,0.403097324,0.301915574,0.349380527,1.87712154,8.424011841,6.47256439,2.39089969,2.707166853
United States,1997,national,income,2017,1997,0,0.749061645,0.749061645,1.493405329,0.499193498,2.749067019,11.4990747,24.74984277,38.24868512,11.24660998,17.74797057,24.49505341,2042369,2042369,4071874,1361086,7495524,31353032,67482179,104287717,30664669,48391084,66787478,1.546205547,3.046205554,4.090572735,0.893152558,4.673784187,6.988553743,10.52273831,15.06600227,6.9935754,8.483516386,10.40834281,3157922.276,6221475.791,16656296.76,1215657.443,35032461.54,219112349.2,710097310.3,1571198981,214455674.8,410526554,695146966.3,71.91653705,83.4576864,59.71639029,89.31525581,46.73784187,34.94276872,35.07579437,37.66500567,35.23000457,34.18844341,34.95455411,0.538699193,0.625149516,0.891807718,0.445855945,1.284854654,4.018095064,8.681203983,14.40636937,64.22597681,49.62797682,12.12621897,22.68854526,30.19225151,37.54195094,45.41530003,54.06630496,64.69235521,78.83927126,101.6867781,195.0107919,1.888055202,3.53261194,4.700940804,5.84529077,7.071173112,8.418136655,10.07261523,12.27529345,15.83265574,30.36322709,18.76,26.62,33.9,41.35,58.95,71.15,87.85,118.7,0.40525718,0.308265016,0.34718006,1.901635855,8.522176629,6.327292111,2.397979798,2.638592751
